country,cured,date,death,exist,increase,total
中国,87827,2020.12.5,4753,1562,75,94142
美国,8663603,2020.12.5,285656,5824908,234951,14774167
法国,168352,2020.12.5,54767,2045433,12696,2268552
英国,3637,2020.12.5,60617,1626178,0,1690432
西班牙,196958,2020.12.5,46252,1455935,11058,1699145
意大利,872385,2020.12.5,58852,757702,23219,1688939
巴西,5744369,2020.12.5,175981,614601,59400,6534951
比利时,38858,2020.12.5,17142,531439,2605,587439
荷兰,7203,2020.12.5,9623,527098,5874,543924
俄罗斯,1916396,2020.12.5,42684,472651,27403,2431731
印度,9058822,2020.12.5,139736,409860,36807,9608418
乌克兰,412533,2020.12.5,13421,375762,15131,801716
波兰,687910,2020.12.5,19861,346502,13236,1054273
土耳其,423142,2020.12.5,14509,328346,32381,765997
德国,820600,2020.12.5,18691,312992,24880,1152283
瑞典,4971,2020.12.5,7067,266874,6269,278912
伊朗,719708,2020.12.5,50016,259262,13341,1028986
墨西哥,852719,2020.12.5,108863,195188,11030,1156770
塞尔维亚,31536,2020.12.5,1834,173570,7782,206940
匈牙利,70396,2020.12.5,5706,167479,6212,243581
阿根廷,1281955,2020.12.5,39512,133164,7629,1454631
希腊,9989,2020.12.5,2804,100392,1648,113185
罗马尼亚,399207,2020.12.5,12186,96952,8062,508345
保加利亚,59677,2020.12.5,4650,94480,3280,158807
印度尼西亚,470449,2020.12.5,17589,81669,5803,569707
瑞士,260600,2020.12.5,5293,78604,4382,344497
孟加拉国,393408,2020.12.5,6807,75574,2252,475789
哥伦比亚,1240990,2020.12.5,37467,74150,9233,1352607
葡萄牙,234038,2020.12.5,4803,73712,8707,312553
加拿大,320096,2020.12.5,12496,69977,4670,402569
捷克,473994,2020.12.5,8738,59674,4621,542406
伊拉克,489772,2020.12.5,12387,58463,1855,560622
洪都拉斯,48953,2020.12.5,2938,57869,616,109760
约旦,177195,2020.12.5,2960,54198,3116,234353
阿塞拜疆,83800,2020.12.5,1551,52649,4267,138000
巴基斯坦,352529,2020.12.5,8303,52359,3262,413191
爱尔兰,23364,2020.12.5,2086,48041,162,73491
奥地利,249441,2020.12.5,3757,47491,3815,300689
黎巴嫩,86019,2020.12.5,1078,47198,1520,134295
哥斯达黎加,95789,2020.12.5,1773,46123,1165,143685
南非,740450,2020.12.5,21963,43391,4400,805804
摩洛哥,323814,2020.12.5,6136,42670,4434,372620
立陶宛,30277,2020.12.5,611,41542,2516,72430
斯洛伐克,79956,2020.12.5,981,34525,2184,115462
波黑,57545,2020.12.5,2865,32383,1254,92793
埃塞俄比亚,78619,2020.12.5,1734,31738,595,112091
秘鲁,903958,2020.12.5,36195,30707,1771,970860
菲律宾,399582,2020.12.5,8526,29961,932,438069
利比亚,56048,2020.12.5,1219,28262,680,85529
多米尼加,116169,2020.12.5,2343,28168,0,146680
阿尔及利亚,56079,2020.12.5,2492,28159,843,86730
格鲁吉亚,129210,2020.12.5,1462,27482,5068,158154
日本,133443,2020.12.5,2319,25144,2447,160906
克罗地亚,120857,2020.12.5,2102,24495,3955,147454
巴勒斯坦,71236,2020.12.5,812,24050,1968,96098
巴拉圭,60644,2020.12.5,1813,24042,995,86499
突尼斯,75464,2020.12.5,3481,22955,0,101900
亚美尼亚,116066,2020.12.5,2309,22584,1184,140959
北马其顿,42241,2020.12.5,1877,22212,1341,66330
白俄罗斯,120571,2020.12.5,1190,21622,1774,143383
斯洛文尼亚,62600,2020.12.5,1700,20469,1795,84769
巴拿马,150051,2020.12.5,3154,20402,1880,173607
缅甸,74973,2020.12.5,2059,19488,1502,96520
阿尔巴尼亚,20974,2020.12.5,870,19458,801,41302
拉脱维亚,1866,2020.12.5,253,18668,686,20787
肯尼亚,68110,2020.12.5,1506,17633,866,87249
丹麦,68632,2020.12.5,867,17244,1603,86743
阿拉伯联合酋长国,158498,2020.12.5,589,16189,1311,175276
尼泊尔,224053,2020.12.5,1577,14255,1272,239885
哈萨克斯坦,119419,2020.12.5,2034,14045,819,135498
摩尔多瓦,98276,2020.12.5,2384,13169,1522,113829
厄瓜多尔,169804,2020.12.5,13696,12982,1008,196482
乌干达,9117,2020.12.5,206,12575,203,21898
以色列,327162,2020.12.5,2896,12043,1677,342101
玻利维亚,124390,2020.12.5,8987,11948,192,145325
马来西亚,60204,2020.12.5,380,10775,1141,71359
黑山,26414,2020.12.5,522,10531,581,37467
法属波利尼西亚,4842,2020.12.5,79,10186,181,15107
智利,531543,2020.12.5,15558,10034,3237,557135
挪威,27414,2020.12.5,354,10033,235,37801
塞浦路斯,2057,2020.12.5,57,9698,348,11812
芬兰,18100,2020.12.5,415,8703,336,27218
卢森堡,28029,2020.12.5,345,8643,627,37017
阿富汗,37485,2020.12.5,1865,8291,130,47641
埃及,103191,2020.12.5,6732,7660,432,117583
韩国,28917,2020.12.5,540,7458,629,36915
危地马拉,113273,2020.12.5,4224,7308,752,124805
阿曼,115866,2020.12.5,1435,7028,0,124329
斯里兰卡,19438,2020.12.5,130,6991,530,26559
吉尔吉斯斯坦,66538,2020.12.5,1290,6946,440,74774
安哥拉,8299,2020.12.5,353,6841,42,15493
苏丹,10672,2020.12.5,1271,6592,281,18535
瓜德罗普,2242,2020.12.5,149,6036,0,8427
爱沙尼亚,8919,2020.12.5,126,5455,470,14500
马提尼克,98,2020.12.5,41,5381,0,5520
沙特阿拉伯,348238,2020.12.5,5940,4158,234,358336
委内瑞拉,98879,2020.12.5,913,4085,481,103877
牙买加,6730,2020.12.5,260,3997,76,10987
叙利亚,3811,2020.12.5,437,3985,88,8233
科威特,139148,2020.12.5,886,3883,343,143917
伯利兹,3725,2020.12.5,170,3488,1382,7383
尼日利亚,64467,2020.12.5,1179,2981,343,68627
中非共和国,1924,2020.12.5,63,2931,0,4918
博茨瓦纳,8978,2020.12.5,34,2519,789,11531
卡塔尔,137060,2020.12.5,239,2484,166,139783
萨尔瓦多,36286,2020.12.5,1153,2279,588,39718
马约特,2964,2020.12.5,49,2168,0,5181
乌兹别克斯坦,71002,2020.12.5,611,2138,161,73751
马耳他,8289,2020.12.5,149,1985,123,10423
乌拉圭,4826,2020.12.5,80,1825,230,6731
莫桑比克,14160,2020.12.5,133,1745,172,16038
库拉索,1292,2020.12.5,7,1591,82,2890
巴林,85710,2020.12.5,341,1549,162,87600
马里,3307,2020.12.5,163,1468,43,4938
津巴布韦,8802,2020.12.5,281,1464,295,10547
尼加拉瓜,4225,2020.12.5,161,1452,0,5838
巴哈马,5976,2020.12.5,163,1426,6,7565
澳大利亚,25634,2020.12.5,908,1414,10,27956
法属圭亚那,9995,2020.12.5,71,1268,35,11334
刚果（金）,11753,2020.12.5,337,1191,294,13281
毛里塔尼亚,7812,2020.12.5,182,1187,142,9181
海地,8124,2020.12.5,233,990,18,9347
喀麦隆,23344,2020.12.5,443,965,73,24752
索马里,3480,2020.12.5,121,924,0,4525
马尔代夫,12199,2020.12.5,47,897,36,13143
加纳,50924,2020.12.5,325,847,429,52096
几内亚,12270,2020.12.5,76,840,19,13186
莱索托,1278,2020.12.5,44,828,0,2150
纳米比亚,13874,2020.12.5,152,778,122,14804
圭亚那合作共和国,4695,2020.12.5,151,755,79,5601
安道尔,6130,2020.12.5,77,748,62,6955
特立尼达和多巴哥,5884,2020.12.5,121,730,21,6735
刚果（布）,4988,2020.12.5,94,692,0,5774
古巴,7858,2020.12.5,136,616,75,8610
马达加斯加,16657,2020.12.5,255,601,172,17513
塔吉克斯坦,11758,2020.12.5,87,504,80,12349
塞拉利昂,1842,2020.12.5,74,504,0,2420
蒙古国,368,2020.12.5,0,474,12,842
海峡群岛,1012,2020.12.5,48,466,61,1526
留尼汪岛,7729,2020.12.5,41,430,98,8200
尼日尔,1237,2020.12.5,77,412,0,1726
佛得角,10496,2020.12.5,108,392,71,10996
马拉维,5472,2020.12.5,185,390,3,6047
多哥,2599,2020.12.5,65,387,25,3051
赞比亚,17145,2020.12.5,364,348,0,17857
布基纳法索,2687,2020.12.5,68,336,52,3091
塞内加尔,15731,2020.12.5,337,329,80,16397
