area,name,pricetotal,priceunit
150.92平米,东城区 二环内 太华 南向 两居室 空置中,925万,61291元/平米
150.92平米,华龙美晟 09年社区 朝南向一室 随时签约,390万,89082元/平米
150.92平米,安贞苑50号院，低楼层，通透 ，户型方正，不临街。,540万,109556元/平米
150.92平米,东城区，南北通透，正规三居室，09年商品房社区,819万,75512元/平米
150.92平米,正东国际大厦 东城区 单价低 满五年,999万,47470元/平米
54.41平米,满五唯一，中层方正一居，诚意出售价格可谈,530万,97409元/平米
150.92平米,96年 楼龄新 管理好 满五年国务院办公厅央产房 精装,1000万,102797元/平米
150.92平米,东城区青年湖公园边中间层一居室,428万,116622元/平米
150.92平米,中海紫御公馆南北通透两居室安静不临街明厨明卫,1150万,126069元/平米
150.92平米,东城区 2005年小区 满五年唯一商品房 带电梯小两居,389万,68997元/平米
97.75平米,央直部级机关~人民日报社家属楼，层高3.3米。,980万,100256元/平米
54.41平米,臻园四居 经典眼镜户型 双卧客厅朝南 客厅带阳台,1650万,87501元/平米
54.41平米,旺座中心公寓70年产权高层随时可看,835万,44777元/平米
54.41平米,朝阳门外 东南三居室 满五唯一 看房有钥匙 诚意出售,1170万,64399元/平米
54.41平米,三元桥 远洋新干线 精致两居 景观视野无遮挡,650万,73174元/平米
54.41平米,东园一区板楼 满五年一套南北通透 独立管理，,498万,71563元/平米
150.92平米,龙体区域 精装修三居 满五年唯一 电梯直达,638万,83301元/平米
150.92平米,和平里七区苏式建筑全明格局看房方便,628万,97972元/平米
150.92平米,南向无遮挡 精装修 近地铁 客厅卧室双朝南 户型好,615万,105219元/平米
150.92平米,六铺炕田字格户型方正，明厨明卫，精装修,736万,106977元/平米
74.5平米,皂君东里 中间层 满五年唯一商品房,706万,94766元/平米
97.75平米,东城区 龙潭湖 低楼层两居 满五唯一,425万,85894元/平米
97.75平米,青年湖 低楼层 看房方便 诚意出售,638万,103421元/平米
97.75平米,都市馨园 南北两居室  中间位置 无遮挡,655万,95859元/平米
97.75平米,东城区，南北通透两居，板楼中间层，满五年,382万,69556元/平米
95.25平米,华贸城7号院正规三居 地暖自采暖 配套完善,698万,73281元/平米
54.41平米,望京新城房子满五年唯一  采光好，无任何遮挡。,716万,56525元/平米
54.41平米,东二环日坛公园边三居室舒适社区,1070万,64126元/平米
57.1平米,索家坟小区 南北通透小户型 不遮挡  安静,436万,76358元/平米
150.92平米,东直门外大街 满五年 带电梯南向 高楼层视野采光好,616万,93010元/平米
150.92平米,东城区 东直门外大街48号 高楼层 视野好,590万,77226元/平米
150.92平米,永定门外东城区 望陶园 东南两居出售,588万,65582元/平米
150.92平米,东街东里无遮挡，南北三居室，无抵押，产权清晰,549万,80736元/平米
150.92平米,新裕家园 中间楼层南向大一居室 业主诚意出售,831万,108260元/平米
74.5平米,小区中间位置，有电梯一梯两户，正规三居室满五唯一,826万,70902元/平米
74.5平米,中关村 南北通透 客厅朝东 看房方便,656万,142795元/平米
74.5平米,西三环 公主坟 南北通透三居室 主卧室20平米,690万,79585元/平米
74.5平米,海淀西四环外 熙湖小区 精装修下跃6居室 不临街,1397万,93533元/平米
74.5平米,塔院四季园精装修电梯直达三居室可望西山,785万,96675元/平米
60.81平米,槐柏树街南里 南北通透两居室 精装修,600万,98668元/平米
97.75平米,东城和平里南北通透三居室，户型方正，中间楼层。,758万,104596元/平米
97.75平米,南北通透 板楼户型 3室 看房提前联系就行,770万,109609元/平米
97.75平米,北京上舍东南三居室  户型好 格局无浪费 小区人车分流,1250万,94590元/平米
97.75平米,永定门 东城区 商品房朝南 两居,720万,68098元/平米
97.75平米,北二环安定门和平里 三大公园环绕 南北通透挂西窗,765万,105300元/平米
95.25平米,双合中路4号院 两居室 业主诚意出售,370万,41189元/平米
95.25平米,满五唯一商品房 中间楼层 采光好,280万,54454元/平米
95.25平米,火星园经典南向全明两居室  中间楼层 安静采光好,1200万,120085元/平米
95.25平米,地铁10号线 朝阳区两居室 装修好 看房随时,475万,61513元/平米
95.25平米,北京新天地五期，不临街，视野好，满五唯一，次卧大窗,525万,54225元/平米
54.41平米,满五年唯一，全南两居室，高层视野采光很好,798万,82362元/平米
54.41平米,慧谷时空集中供暖地暖，满五年全南向,880万,59767元/平米
54.41平米,央视国贸 楼层高视野开阔，看中国尊 南向采光好,678万,82492元/平米
54.41平米,客厅挑空，精装复式 ，采光充足，电梯直通车库,1040万,52986元/平米
54.41平米,东二环  中海枫丹公馆 新房 东西通透 诚意卖,1610万,102686元/平米
57.1平米,中湾国际  精装  一居室  随时看房,458万,82419元/平米
57.1平米,万柳蜂鸟家园 南北通透正对小区花园 采光好 不临街,800万,169205元/平米
57.1平米,红联北村 正规一室一厅 满五年唯一 精装修,383万,80143元/平米
57.1平米,五棵松永定路85号院南北通透两居室,398万,76686元/平米
57.1平米,96年板楼，楼龄新，精装修，满5年唯一,665万,110649元/平米
150.92平米,朝阳门北小街  低楼层 南北通透2居室  采光好无遮挡,815万,118116元/平米
150.92平米,广渠门外南街   东南一居室  带电梯,370万,79060元/平米
150.92平米,全明格局南北通透三居室 满两年商品房 诚意出售,586万,98076元/平米
150.92平米,此房业主名下满五年，南向户型，没有遮挡，采光好,780万,88456元/平米
150.92平米,有电梯南北三居，不临街，诚心出售,870万,102353元/平米
150.92平米,东城区 朝南一居室 中间楼层 无遮挡,365万,89308元/平米
74.5平米,清河宝盛里 正规二居室 西北向 大客厅带阳台 有储物间,415万,55855元/平米
74.5平米,东王庄  中间层 两居室 交通便利,480万,77771元/平米
74.5平米,精装修，南北通透，满五年唯一，交通便利,990万,70298元/平米
74.5平米,国海广场商品房，西南电梯两居，随时签约,558万,53536元/平米
74.5平米,西二旗智学苑 南北向两居室 低楼层 业主诚意出售,450万,65627元/平米
74.5平米,温泉凯盛家园二区  中高楼层  视野好采光好,292万,48953元/平米
60.81平米,二环内 2001年 华北电力央产 带电梯,1020万,85628元/平米
60.81平米,西黄城根45号院 中间层 朝南,680万,160757元/平米
60.81平米,急售，金融街二龙路国家单位楼的电梯房2室1厅，管理好,940万,154352元/平米
60.81平米,平原里 中间楼层 前后无遮挡 地铁陶然亭站,515万,102001元/平米
60.81平米,固定车位 明卫 视野宽阔，满五年唯一交通便利,990万,92351元/平米
97.75平米,楼龄新，1996年建成，东直门商圈，满五年唯一,498万,76924元/平米
97.75平米,东城区 南二环边 朝西一居室 满五年唯一,385万,81724元/平米
97.75平米,地铁5号线天坛东门站 南一居室 高层 精装修、户型方正,395万,95550元/平米
97.75平米,东城区  东向一居 商品房业主唯一住房  无遮挡,310万,69757元/平米
97.75平米,前后不临街对花园南北通透一梯两户装修好,1080万,126169元/平米
76.6平米,百万庄未区，满五年唯一，南北通透,900万,117494元/平米
95.25平米,东一时区南北3居室，装修保持不错,608万,46416元/平米
95.25平米,华悦国际南北通透两居 满五年北京唯一住房,1080万,83411元/平米
95.25平米,上京新航线 南向两居室 房本满五年 北京就一套房子,840万,85837元/平米
95.25平米,融域嘉园 全明格局两居室  有车位 采光没有遮挡,948万,87503元/平米
95.25平米,安贞里 有明厅  两居室  南北通透  中间层  满五唯一,505万,81465元/平米
95.25平米,团结湖北四条政协院，中间层三居室,435万,66311元/平米
54.41平米,天鹅湾北区 四期 全南向 小区中间位置  满二年 随时看,595万,116965元/平米
54.41平米,富力又一城A区小区中间位置南北通透精装修,755万,47539元/平米
54.41平米,全南向，看房方便，有钥匙。户型方正,570万,65263元/平米
54.41平米,明厨明卫两居，双飘窗+双阳台，东南通透性好，不临街,532万,55731元/平米
54.41平米,1999年建成，楼层适中，东南三居室,655万,66933元/平米
54.41平米,甜水园北里，95年建成，南向一居室,345万,59627元/平米
57.1平米,太平路34号院 海淀区 西四环 南北通透 格局好 诚心卖,505万,71127元/平米
57.1平米,山水倾城 餐客分离大三居 正对小区院里 不临街,1680万,104660元/平米
57.1平米,育新花园 带电梯三居室 全明格局,690万,67252元/平米
57.1平米,北三环 海淀区 冠城园之冠城园北园 西南向 精装3居,1410万,98899元/平米
57.1平米,永泰园 低楼层 南向 上清桥地铁（昌平线） 明厅,343万,76837元/平米
150.92平米,满五年，精装修人车分流，配套齐全。高层视野好,1730万,119923元/平米
150.92平米,全南两居室，中楼层，视野也不错,910万,99454元/平米
150.92平米,东城区，南北通透2居室，满五年唯一商品房,626万,68596元/平米
150.92平米,广渠门忠实里西南三居室，中间楼层，户型方正,666万,82960元/平米
150.92平米,东城区 左安浦园 东南向 一居室 全明格局,469万,80946元/平米
74.5平米,知本时代 满五年唯一  电梯大两居 地暖飘窗,600万,61394元/平米
74.5平米,牡丹园 南北向2居 低楼层 精装修 看房方便,525万,90052元/平米
74.5平米,南北通透 明厅两居  带固定租赁车位,528万,86843元/平米
74.5平米,时雨园全明格局三居室 采光好无遮挡 诚意出售,1460万,88614元/平米
74.5平米,美丽园 电梯洋房 南北通透3居室 满五年 ！,1460万,101418元/平米
60.81平米,满五唯一 万和世家 新上东南向两居 楼层高视野好,1650万,136613元/平米
60.81平米,三义东里 南北2居室 精装修 采光好 格局方正 带车位,485万,78785元/平米
60.81平米,此房南向，楼层好，视野宽阔，采光充足,425万,88340元/平米
60.81平米,西南二环内 牛街商圈 白广路二条4号院 诚心出售,390万,85885元/平米
60.81平米,满五唯一商品房，南北通透三居室，生活和交通好,766万,92068元/平米
60.81平米,青春无限 2004年商品房小区  精装修,410万,77962元/平米
97.75平米,灯市口大街 双南两居室 电梯房 采光好,668万,126133元/平米
97.75平米,东城区广渠家园  正规2居  无遮挡 全明格局,539万,88564元/平米
97.75平米,东城广渠门 广渠家园*精装修*自住*高层无遮挡两居,585万,81773元/平米
97.75平米,绿景馨园04年小区 全南向两居 满五年唯一商本,540万,103508元/平米
97.75平米,华龙美晟西南向两居室中间楼层看房方便,495万,65755元/平米
76.6平米,灵佑胡同，南北通透，中间层，采光无遮挡。,693万,95825元/平米
76.6平米,南北朝向，中楼层采光好，满五年,645万,93384元/平米
76.6平米,四平园 东西朝向两居 满五唯一 中间楼层 诚心出售,650万,105657元/平米
76.6平米,六铺炕三区 94年建成 中石化家属楼 4层 精装修,1335万,147189元/平米
76.6平米,百万庄1号院 小两居 看房随时,560万,120172元/平米
95.25平米,满五唯一，南北两居室，客厅有窗户，采光充足,320万,56378元/平米
95.25平米,鹿港嘉苑西南北两居室中间楼层满五唯一,850万,76653元/平米
95.25平米,山水文园中园南北双通透 客厅朝南，双卧南向,1299万,81097元/平米
95.25平米,都市心海岸雅园满五年唯一上下两层，不临街。,665万,61427元/平米
95.25平米,金隅景和园 南北通透 户型方正小三居,437万,48778元/平米
54.41平米,华严北里小区20平米客厅有窗户，明厨明卫，满五唯一,609万,66740元/平米
54.41平米,机场南平里三居室   南北通透  看房方便,239万,33479元/平米
54.41平米,望京花园接地气的正规三居，满五唯一，有钥匙随时看,739万,62091元/平米
54.41平米,科学园南里五区 满五年唯一 全明格局,880万,98999元/平米
54.41平米,澳洲康都 精装修，高层视野好，落地大窗,676万,84904元/平米
57.1平米,翠微北里带电梯 2居室带客厅 单价9.4万满五唯一商品房,698万,94709元/平米
57.1平米,知春里小区 两居室 满五年家庭唯一住宅 中间楼层,690万,112013元/平米
57.1平米,铁路小区，海淀产权，户型好，精装修，为您节省费用,385万,83208元/平米
57.1平米,西南向三居室 不临街 无遮挡 楼龄新 购房成本低,915万,90131元/平米
150.92平米,新景家园东区 商品房全南向两居室 采光好 视野好,845万,102911元/平米
74.5平米,恩济花园南北通透 精装修 两个卫生间 一梯两户采光好,989万,87060元/平米
74.5平米,五棵松地铁口 南北三居室 全明户型 采光好 精装修,627万,83936元/平米
74.5平米,瑞新里小区南北三居 满五年唯一 业主诚意出售。,1265万,93732元/平米
74.5平米,三居室带客厅  东南北东三面采光 有电梯 安静不临街,840万,99645元/平米
60.81平米,南北通透 楼层是中间层 满五年家庭唯一,518万,103352元/平米
60.81平米,西城月坛 金融街  铁道部宿舍 东西北三居,670万,101362元/平米
60.81平米,长椿街 广安门内站 南北通透 满五唯一,529万,93167元/平米
60.81平米,牛街西里西南向两居 精装修采光好 诚意出售,608万,82913元/平米
60.81平米,西单，金融街，一梯两户朝东观景一居室,558万,150608元/平米
97.75平米,豆瓣胡同  商品房 南北向两居   板楼带电梯,850万,120006元/平米
97.75平米,前门前中楼层两居室 采光好 诚心出售,800万,89167元/平米
97.75平米,东环居苑 3室2厅 东北,795万,81472元/平米
97.75平米,东城区 永定门南北两居，精装修半地下，随时可看，随,299万,43926元/平米
76.6平米,九和苑 2005年 商品房 南北朝向  有物业管理,830万,112330元/平米
76.6平米,西四北大街160号 满五年唯一 有电梯,798万,137824元/平米
76.6平米,考拉社区 商品房小区 精装修  诚意出售,466万,76607元/平米
76.6平米,车站西街17号院一居室 满五唯一 中间层 92年 有钥匙,435万,92949元/平米
76.6平米,新壁街小区，东向三居室，一梯三户，两个卫生间。,1030万,122343元/平米
95.25平米,富仁名苑南北三居，出门就是元大都公园,836万,84994元/平米
95.25平米,望花路西里 满五年唯一 2000年楼龄 看房随时 婚房装修,620万,55338元/平米
95.25平米,南北通透格局，楼层好，视野开阔，采光充足，配套齐全,1300万,78187元/平米
95.25平米,樱花半岛 全南两居 户型方正 诚意出售,1143万,94113元/平米
95.25平米,南北三居 全明格局 领包入住 看房随时,770万,50134元/平米
54.41平米,珠江罗马嘉园东区 楼层高 采光视野好 满五唯一,800万,66457元/平米
54.41平米,朝阳新城一区 2室2厅 南 北,468万,40671元/平米
54.41平米,嘉润花园东南两居，视野好，采光好，满五唯一,640万,59886元/平米
54.41平米,南北通透格局好，视野无遮挡，全明格局,1120万,77157元/平米
54.41平米,安华里社区，满五年唯一，带电梯南北通透三居,720万,84231元/平米
57.1平米,中关村 清华园全南精装两居，可签约,660万,120659元/平米
57.1平米,小区中间两居室 不临街 产权清晰 满五唯一 随时可看,518万,66072元/平米
57.1平米,西三环北路89号院中间楼层精装南北两居,498万,91747元/平米
57.1平米,看房方便，诚意出售，南北通透，格局合理，视野开阔,468万,86667元/平米
57.1平米,中国银行总行，管理好，满五年，不临街格局好,656万,101235元/平米
74.5平米,海淀产权，南北向两居室，诚心出售,350万,58431元/平米
74.5平米,紫竹院公园 国家图书馆 玉渊潭公园,565万,75133元/平米
74.5平米,烟树园 满五年唯一，只有契税，精装修，双卧朝南。,1143万,91985元/平米
74.5平米,蓝靛厂时雨园诚心出售，户型好，格局好正规三居室,1350万,104111元/平米
74.5平米,西直门楼新社区 三居室 满五就一套 业主自住 居家精装,1699万,102746元/平米
60.81平米,电梯刷卡到层，满五年唯一，业主诚售,985万,124369元/平米
60.81平米,新街口东街 中间楼层 朝南正规一居室 精装修,666万,147346元/平米
60.81平米,满五唯一 近地铁4号线陶然亭地铁站 近万寿公园,512万,101407元/平米
60.81平米,京畿道小区，粮食局宿舍，大两居室，单价低,1020万,128464元/平米
60.81平米,车公庄大街1号院，全明格局，满五年唯一商品房,638万,108689元/平米
97.75平米,朝阳门内 精装修 朝南一居 交通便利,540万,93361元/平米
97.75平米,朝阳门内 西水井胡同 带电梯两居室 采光好！,643万,85860元/平米
97.75平米,商品房小区 电梯直达 人车分流 大两居室,965万,108905元/平米
