,name,location1,location2,location3,location4,location5,type,area,evenPrice,totalPrice
27,首开国风尚樾,朝阳,望京,望京南湖南路三帆中学对面,,,3室,146,120000.0,1752.0
58,北京书院,朝阳,惠新西街,北三环以北，惠新东街与北土城东路交汇处西行200米路北,,,1室,67,112000.0,750.4
6,润泽御府,朝阳,北苑,北京市朝阳区北五环顾家庄桥向北约2.6公里,,,4室,540,100000.0,5400.0
40,天润福熙大道,朝阳,北苑,清河营东路1号院, 清河营东路3号院,,3室,180,90000.0,1620.0
61,中海北京世家,大兴,亦庄开发区其它,三海子东路与公园北环路交叉口(南海子公园北侧),,,4室,280,82000.0,2296.0
41,元熙华府,丰台,宋家庄,东南三环东铁营桥向南600米,,,2室,62,82000.0,508.4
24,首创天阅西山,海淀,海淀北部新区,永丰路与北清路交汇处东北角，中关村壹号北,,,3室,175,80000.0,1400.0
55,和光尘樾,朝阳,东坝,东五环七棵树桥出口向东1.5千米,,,4室,290,79800.0,2314.2
56,首开住总熙悦安郡,朝阳,成寿寺,肖村东路1号院,,,3室,84,79500.0,667.8
38,国锐金嵿,亦庄开发区,亦庄,荣华南路1号院,,,4室,285,78000.0,2223.0
29,中冶德贤公馆,大兴,旧宫,德贤东路6号院（南四环榴乡桥东南角800米）,,,3室,186,77000.0,1432.2
45,京贸国际城·峰景,通州,武夷花园,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,,,1室,69,72000.0,496.8
47,通州万国城MOMA,通州,乔庄,果园环岛以东，运河西大街与玉桥西路交汇处,,,3室,112,71000.0,795.2
28,绿地海珀云翡,大兴,大兴其它,兴亦路京开高速东侧（黄村镇第一中心小学对面）,,,2室,102,70000.0,714.0
15,V7九间堂,通州,潞苑,通燕高速耿庄桥北出口中化石油对面,,,4室,220,68000.0,1496.0
33,合景寰汇公馆,通州,武夷花园,滨河中路和新华大街交汇处西南角，往南200米,,,2室,77,65000.0,500.5
48,领秀翡翠墅,丰台,丰台其它,王佐镇长青路南侧, 长青路88号院,,4室,270,65000.0,1755.0
25,西山燕庐,门头沟,门头沟其它,长安街延线南约500米,,,3室,137,65000.0,890.5
7,中骏西山天璟,门头沟,城子,西山永定楼北300米,,,4室,117,65000.0,760.5
23,电建金地华宸,门头沟,门头沟其它,长安街西延线南侧约500米,,,3室,180,64000.0,1152.0
42,京贸国际公馆,通州,九棵树(家乐福),怡乐中路299号院（广渠快速路二期出口向南1000米）,,,2室,92,63000.0,579.6
51,中骏西山天璟,门头沟,城子,永定楼北300米,,,4室,140,63000.0,882.0
46,未来公元,昌平,北七家,京承高速北七家出口800米路南,,,3室,104,60800.0,632.32
14,华远裘马四季,门头沟,大峪,增产路16号院,,,3室,150,60000.0,900.0
10,天恒水岸壹号,房山,良乡,良乡大学城西站地铁南侧400米，刺猬河旁,,,3室,185,58000.0,1073.0
62,中海北京世家,大兴,亦庄开发区其它,三海子东路与公园北环路交叉口(南海子公园北侧),,,3室,150,58000.0,870.0
0,中粮京西祥云,房山,长阳,地铁稻田站北800米，西邻京深路,,,4室,115,58000.0,667.0
22,西山甲一号,丰台,丰台其它,长辛店生态城园博园南路路北500米,,,3室,118,57000.0,672.6
60,中铁华侨城和园,大兴,瀛海,南五环南海子公园西侧约500米,,,3室,154,55000.0,847.0
17,华远和墅,大兴,南中轴机场商务区,南六环磁各庄桥沿南中轴向南2公里,,,5室,295,54000.0,1593.0
63,东方蓝海中心,昌平,北七家,未来科学城东路与英才南二街交汇处,,,4室,104,52000.0,540.8
