course,num_stu,teacher,university
C++语言程序设计基础,423795人,郑莉,清华大学
数据结构(上),410445人,邓俊辉,清华大学
数据结构（下）,358400人,邓俊辉,清华大学
Java程序设计,195050人,郑莉,清华大学
操作系统,192368人,向勇,清华大学
网络技术与应用,174938人,沈鑫剡,中国人民解放军陆军工程大学
C++语言程序设计进阶,117378人,郑莉,清华大学
C程序设计案例教程（基础）,113319人,张莉,中国农业大学
C程序设计案例教程（进阶）,110154人,张莉,中国农业大学
大数据技术与应用,97908人,李军,清华大学
软件工程,93218人,刘强,清华大学
大学计算机教程,62239人,张莉,中国农业大学
数据挖掘：理论与算法,107452人,袁博,清华大学
计算机文化基础,83651人,李秀,清华大学
程序设计基础,80761人,徐明星,清华大学
组合数学,74356人,马昱春,清华大学
大数据系统基础,74195人,王建民,清华大学
VC++面向对象与可视化程序设计（上）：Windows编程基础,69293人,黄维通,清华大学
VC++面向对象与可视化程序设计（下）：MFC编程基础,67894人,黄维通,清华大学
人工智能原理,63180人,王文敏,北京大学
大数据平台核心技术,62877人,武永卫,清华大学
数据科学导论,48659人,袁博,清华大学
大学计算机基础,46641人,卫春芳,湖北大学
Web前端攻城狮,57634人,刘强,清华大学
Office办公软件应用,57399人,史巧硕,河北工业大学
汇编语言程序设计,55188人,张悠慧,清华大学
计算机应用基础,54996人,宋承继,陕西工业职业技术学院
微软亚洲研究院大数据系列讲座,52813人,洪小文,Microsoft
算法设计与分析,51302人,王振波,清华大学
学做小程序——基础篇,51039人,刘强,清华大学
ARM微控制器与嵌入式系统,35425人,曾鸣,清华大学
基于Linux的C++,45886人,乔林,清华大学
大学计算机基础,45091人,徐红云,华南理工大学
计算机网络,44583人,袁华,华南理工大学
JAVA程序设计进阶,42044人,许斌,清华大学
Web开发技术,38288人,陈静,重庆大学
计算几何,38138人,邓俊辉,清华大学
程序设计基础（上）,36492人,赵宏,南开大学
大数据机器学习,35685人,袁春,清华大学
大学计算机——计算思维的视角,49612人,郝兴伟,山东大学
面向对象程序设计（C++）,49032人,黄震春,清华大学
R语言数据分析,35062人,艾新波,北京邮电大学
